Frame,Box0,Box1,Box2,Box3,Box4,Box5,Box6,Box7,Box8,Box9,Box10,Box11,Box12,Box13,Box14,Box15,Box16,Box17,Box18,Box19,Box20,Box21,Box22,Box23,Box24,Box25,Box26
0,6,4,3,4,5,4,5,4,5,1,3,4,2,5,3,2,3,5,3,3,4,5,3,2,6,4,5
1,6,4,3,4,5,3,5,4,3,2,3,5,2,5,4,2,2,5,3,3,4,5,3,2,6,4,4
2,7,4,3,5,4,4,6,4,3,2,2,4,3,6,4,2,3,4,3,3,3,4,3,2,4,4,4
3,7,4,2,4,4,5,5,4,4,2,3,5,2,5,4,3,4,4,3,4,3,4,3,2,4,5,4
4,6,3,3,4,3,4,5,4,4,2,3,4,2,5,4,2,5,5,2,4,3,4,3,2,4,4,4
5,7,3,3,5,4,3,5,4,4,1,3,3,3,6,3,2,4,5,2,3,3,4,4,2,4,4,4
6,5,3,3,6,4,5,4,4,3,1,2,2,4,6,3,3,6,5,3,3,2,4,3,1,4,3,4
7,4,3,4,6,3,5,4,4,4,2,2,3,4,5,4,3,5,4,4,3,3,4,3,1,4,5,5
8,5,3,3,5,5,4,4,4,4,2,3,3,4,6,4,3,3,4,3,3,2,4,3,2,4,5,5
9,7,3,4,5,4,5,4,4,4,2,2,2,4,5,3,3,3,4,2,3,5,4,3,2,4,3,5
10,6,3,4,5,4,4,5,4,4,3,2,2,4,5,4,3,5,4,2,4,5,4,3,2,4,4,5
11,4,3,4,5,3,5,6,4,4,4,2,3,4,4,4,3,3,4,2,4,4,4,3,2,4,4,4
12,4,3,3,4,2,4,4,4,4,3,4,3,4,6,3,3,3,4,2,3,4,4,3,1,4,4,4
13,4,3,3,4,2,3,4,4,4,3,3,2,4,6,3,3,4,4,2,4,3,5,3,1,5,5,5
14,6,3,4,4,3,3,4,3,4,2,2,3,4,6,3,3,4,4,2,4,3,5,4,2,4,4,5
15,6,3,3,5,4,5,5,3,4,4,3,2,4,6,4,3,4,4,2,5,2,5,3,2,4,4,4
16,5,3,3,4,4,5,5,4,4,2,3,2,3,4,3,3,4,4,4,4,2,5,3,1,4,5,4
17,4,3,3,5,3,5,4,4,4,1,4,3,3,5,4,3,4,4,4,5,5,5,3,2,4,4,5
18,4,3,3,5,2,5,5,4,3,1,3,2,3,5,3,2,5,4,3,4,4,5,3,3,5,4,6
19,5,3,3,5,3,4,4,4,3,3,3,2,3,5,4,3,4,5,3,3,4,5,3,2,4,4,6
20,5,3,3,4,3,4,5,3,4,3,3,3,4,5,4,3,4,4,3,3,4,5,3,2,5,4,6
21,6,3,3,4,2,5,5,3,4,2,3,3,4,3,4,3,5,4,3,3,3,5,3,3,4,4,6
22,5,3,3,5,3,5,4,3,4,1,2,3,3,4,3,2,5,4,4,4,3,4,3,3,5,4,5
23,5,3,3,4,3,4,5,3,5,2,2,2,3,5,3,3,4,4,4,5,4,4,3,3,5,5,5
24,5,3,3,4,3,5,5,3,4,3,3,3,4,5,3,2,4,4,3,5,3,3,3,4,5,5,6
25,5,3,4,4,5,5,5,3,4,3,3,3,2,5,4,2,3,4,2,5,4,4,3,3,4,5,6
26,5,3,4,4,3,5,4,3,3,4,3,3,2,4,4,2,3,4,3,5,4,4,3,3,4,5,5
27,4,3,3,5,4,5,4,3,3,4,3,3,3,5,4,3,4,5,3,4,4,3,3,3,5,4,4
28,6,3,3,5,5,4,5,3,4,3,2,3,2,4,4,2,4,5,3,4,4,4,3,4,5,5,5
29,5,4,3,5,4,5,5,4,4,4,2,4,2,5,4,2,4,4,3,4,4,4,3,4,5,5,5
30,4,4,3,4,4,5,5,4,4,3,2,4,3,4,4,2,4,4,2,4,4,4,3,2,7,4,5
31,4,3,3,4,3,5,6,4,3,3,1,4,3,4,4,2,5,4,2,4,4,5,3,3,6,4,6
32,4,3,3,5,2,5,4,4,4,3,2,3,2,4,4,2,3,4,2,3,4,5,3,4,5,5,6
33,4,3,3,5,2,5,5,4,4,4,2,4,2,5,4,2,3,4,2,3,4,5,3,3,6,5,5
34,5,3,3,4,3,4,6,4,4,3,4,4,3,5,4,2,4,4,3,3,4,4,3,3,6,5,5
35,4,3,3,4,3,4,6,4,5,3,4,4,3,5,4,2,3,4,4,3,4,4,3,3,6,4,5
36,4,3,3,4,4,4,5,4,5,4,3,4,2,5,4,2,4,4,4,3,4,4,3,3,5,3,6
37,5,3,3,4,4,5,5,5,4,5,3,4,2,5,4,2,4,4,3,3,4,4,4,3,6,4,5
38,4,3,3,4,4,5,5,4,4,5,4,4,3,5,3,2,4,4,3,3,5,4,3,2,6,4,6
39,4,3,3,4,5,5,6,4,4,4,4,4,3,4,3,2,4,5,2,3,5,4,3,3,6,4,5
40,2,3,3,4,4,5,6,4,5,4,3,4,3,4,3,2,5,5,2,3,5,5,3,2,5,3,5
41,2,3,3,4,6,5,6,4,5,4,4,4,3,4,3,3,4,5,2,3,5,5,4,3,4,4,5
42,3,3,4,4,5,4,6,4,7,5,3,4,4,4,4,2,4,5,3,3,3,5,3,3,4,5,5
43,2,3,3,4,5,5,5,3,4,4,3,4,4,4,3,2,3,5,3,3,4,5,3,3,3,4,5
44,3,3,4,4,5,5,6,3,6,4,3,4,4,5,3,2,4,5,2,3,3,4,3,2,3,3,5
45,3,3,4,4,4,5,6,3,5,4,3,3,4,5,4,2,4,5,3,3,3,5,3,3,5,3,4
46,4,4,4,4,4,6,6,3,5,3,3,4,4,5,4,2,4,5,3,3,4,5,4,3,5,3,4
47,4,4,3,5,5,5,6,3,3,5,3,4,5,5,4,2,4,5,3,3,4,5,3,3,5,4,4
48,4,3,3,4,4,5,6,3,4,5,3,4,4,5,3,2,4,5,3,3,4,5,3,2,5,4,5
49,5,3,3,4,3,5,6,3,3,4,2,4,4,4,4,2,4,5,3,4,4,5,3,2,5,4,5
